username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
nekodakko,"Hi. I'm from Japan.  I like America.🗽 I like India.🍛                             
 昆布巻きが好きです。 閻魔大王に最近会えてません。怒ってないか心配です。天照大神はお昼寝してます。スサノオはフランスに旅行に出掛けました。",,4407,435,13705,2019-08-19 00:37:55,2020-05-04 12:51:22,156,"These chicks are being burnt alive because they aren’t profitable for the egg industry. 😡

#GoVegan
https://t.co/Cn50hOCy8I","[{'text': 'GoVegan', 'indices': [103, 111]}]"
captainRobbie99,,,1327,229,1573,2015-10-24 15:00:00,2020-05-04 12:51:08,11,"The best we do is love unconditionally💖
It's the love we feel for #animals🐐💕
And why their joy gives us a #FridayFeeling too!🤗
Don't let your diet undermine your #love🙏

Go #Vegan🐾💕

@RickyGervais @Protect_Wldlife @Ivy_MiddletonUK @PeterEgan6 @RobRobbEdwards @Animal_Watch https://t.co/0OGyXvZU1k","[{'text': 'animals', 'indices': [87, 95]}]"
Tweet_laura90,"Mum / Wife / Fashion / Beauty / Travelling / Gin / Think Positive, Be Positive ❤️",Dorset / London  ,918,2878,134382,2016-04-03 19:26:06,2020-05-04 12:50:17,243,"#RTtoWin one of 5 packs of 4 real ciders from @is_cider, compliments of @tikichris: https://t.co/O65E8SMUNm #WinCiderIsWine #cider #cideriswine #realcider #giveaway #vegan #artisan #glutenfree #lockdownideas https://t.co/LGvaqg4XXA","[{'text': 'RTtoWin', 'indices': [15, 23]}, {'text': 'WinCiderIsWine', 'indices': [123, 138]}]"
CompleteElement,Your health and nutrition is our priority!,,46,6,23,2019-03-21 10:04:03,2020-05-04 12:50:13,0,"Complete Elements proudly sells Vegan Omega 3 that is derived from algae. Not a single fish is harmed in the process. A powerful step for a peaceful world.

#nofishharmed, #crueltyfree, #toxinfree, #vegan #goodfortheplanet #healthylifestyle #Omega3 #sustainability #prolife https://t.co/tFyPZ1npkN","[{'text': 'nofishharmed', 'indices': [157, 170]}, {'text': 'crueltyfree', 'indices': [172, 184]}, {'text': 'toxinfree', 'indices': [186, 196]}, {'text': 'vegan', 'indices': [198, 204]}, {'text': 'goodfortheplanet', 'indices': [205, 222]}, {'text': 'healthylifestyle', 'indices': [223, 240]}, {'text': 'Omega3', 'indices': [241, 248]}, {'text': 'sustainability', 'indices': [249, 264]}, {'text': 'prolife', 'indices': [265, 273]}]"
Tweet_laura90,"Mum / Wife / Fashion / Beauty / Travelling / Gin / Think Positive, Be Positive ❤️",Dorset / London  ,918,2878,134382,2016-04-03 19:26:06,2020-05-04 12:50:05,41,"#RTtoWin one of 5 packs of 4 ciders from @is_cider, compliments of @tikichris: https://t.co/O65E8SMUNm #WinCiderIsWine #cider #cideriswine #realcider #giveaway #vegan #artisan #glutenfree #lockdownideas https://t.co/A9rFVeWiy5","[{'text': 'RTtoWin', 'indices': [15, 23]}, {'text': 'WinCiderIsWine', 'indices': [118, 133]}]"
wisebuyspain,Retired. #Twitter #Spain #tennis #football #animals #birds #art #books #music #conservation #climatechange,#España,5837,16692,33962,2011-02-23 10:59:59,2020-05-04 12:49:59,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
becky0020,"Mum of 2, one with ASD which is very challenging, but he is obsessed with playing, and watching Rugby which focusses his energies!",Llanelli,6284,5717,168464,2010-12-29 18:44:35,2020-05-04 12:49:33,0,"I want to win a #vegan treatment from @pamojaskincare! Enter with @the_eco_logical 🌿

#giveaway #smallbiz #win https://t.co/nZZ9N2fRrJ","[{'text': 'vegan', 'indices': [16, 22]}, {'text': 'giveaway', 'indices': [86, 95]}, {'text': 'smallbiz', 'indices': [96, 105]}, {'text': 'win', 'indices': [106, 110]}]"
Reinvent_Me,✨ Inspiration Is Needed ✨ | Multifandom | Kpop etc. | INFJ | ♉ | Vegan | HuffleClaw | Personal Ramblings | ✨ FAN ACCOUNT ✨,"(a batcave) California, USA",364,415,40129,2009-03-21 00:38:17,2020-05-04 12:49:31,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
ahichovai,,,79,40,549,2020-04-26 14:18:46,2020-05-04 12:48:59,504,"Beagles are the majority of dogs bred and sold for experiments. They are poisoned, burned, starved, blinded...  Even if a product killed them, it can still be marketed to consumers
 
Stop Supporting Animal Cruelty
GoVegan🌱🌎

#AnimalRights #GoVegan #Animals #EndSpeciesism #Vegan https://t.co/XB18CoVdRZ",[]
veganmayra,🌱 #vegan for the animals🌱. #vegan4life #veganlife #vegangirl,"Lima, Peru",449,1547,517,2018-02-04 04:22:50,2020-05-04 12:48:48,0,"Are you saying my #vegan approach make the movement “look bad”?  Oh, I’m so sorry, thought we were doing this for the animals and not to be popular among their abusers.","[{'text': 'vegan', 'indices': [18, 24]}]"
alpha1malegroom,#Male#treatmnt#Grooming#Health#Beauty#refreshing#Massage#deep#tissue#Microderm #Facials treats #Sugaring#Laser #treatments#epilation#Aromatherapy#Cavitation#sw5,Sw5 earls court london,1459,906,172790,2014-04-07 16:37:06,2020-05-04 12:48:48,11,"The best we do is love unconditionally💖
It's the love we feel for #animals🐐💕
And why their joy gives us a #FridayFeeling too!🤗
Don't let your diet undermine your #love🙏

Go #Vegan🐾💕

@RickyGervais @Protect_Wldlife @Ivy_MiddletonUK @PeterEgan6 @RobRobbEdwards @Animal_Watch https://t.co/0OGyXvZU1k","[{'text': 'animals', 'indices': [87, 95]}]"
livekindlyco,"For our humanity, our home, and those who share it with us.",Vancouver,4860,26602,40976,2017-05-07 05:40:51,2020-05-04 12:48:37,0,"Will you add @Cargill #vegan nuggets to the menu in China permanently, @kfc?
https://t.co/uNCijntfUA","[{'text': 'vegan', 'indices': [22, 28]}]"
_AnimalAdvocate,"💖 An uncompromising voice for #compassion💖🐬
Making #films for #animals & for #justice. An #AnimalRights #vegan trying to change the world🌎
It's⏱to #Resist🤔",Vegan because I love all life.,5388,76330,236874,2013-06-23 09:09:30,2020-05-04 12:48:37,11,"The best we do is love unconditionally💖
It's the love we feel for #animals🐐💕
And why their joy gives us a #FridayFeeling too!🤗
Don't let your diet undermine your #love🙏

Go #Vegan🐾💕

@RickyGervais @Protect_Wldlife @Ivy_MiddletonUK @PeterEgan6 @RobRobbEdwards @Animal_Watch https://t.co/0OGyXvZU1k","[{'text': 'animals', 'indices': [66, 74]}, {'text': 'FridayFeeling', 'indices': [106, 120]}, {'text': 'love', 'indices': [162, 167]}, {'text': 'Vegan', 'indices': [173, 179]}]"
yoyo02,,"Hamburg, Germany",641,53,590,2009-06-25 10:03:02,2020-05-04 12:48:26,347,"#Compassion isn't weakness, it's using our strength for those who need it most🐢
It doesn't care what we think, it cares what we do🤔
Put compassion into action🤗
#BeKindToAllKinds🐮
Be #vegan💖

@RickyGervais @Ivy_MiddletonUK @Protect_Wldlife @PeterEgan6 @zbleumoon @Animal_Watch https://t.co/EhBdmfQD47","[{'text': 'Compassion', 'indices': [21, 32]}]"
amini54art,"#Art #Photography #Print #Design 
Curious and persistent, amini54 explores art with a spirit of adventure and a love of play.",Hong Kong,560,902,68812,2018-11-16 13:48:14,2020-05-04 12:48:19,2,"We'll make a vegan protein non-believer into a hardcore fan. Our Protein Shake Mix is made with non-GMO ingredients, has even less sugar than before, and delivers 20 g of plant-based protein. https://t.co/fUj6A9GLRo #proteins #protein #chocolate #vegan #nonGMO #plantbased https://t.co/DWMb0YFmhc",[]
faytaylor5,,,91,41,95,2012-03-01 18:39:23,2020-05-04 12:48:09,0,"It’s Tropic’s 7th Birthday Today! 🎂💚

In those 7 years we have....

🌿sent out 1.2 million orders to customers 

🌿delivered 1.3 million cleansers 

🌿held 1/2 a million pampers 

🌿shipped to over 60 different countries 

.......

#crueltyfree #naturalcosmetics #parabenfree","[{'text': 'crueltyfree', 'indices': [228, 240]}, {'text': 'naturalcosmetics', 'indices': [241, 258]}, {'text': 'parabenfree', 'indices': [259, 271]}]"
veganmayra,🌱 #vegan for the animals🌱. #vegan4life #veganlife #vegangirl,"Lima, Peru",449,1547,517,2018-02-04 04:22:50,2020-05-04 12:47:56,26,"You don't owe it to your culture to eat animals. You don't owe it to your religion, your ancestors or your teeth...

You do owe it to yourself and to the animals to make your own ethical decisions. 

Choose #compassion #GoVegan",[]
jagadakka,सत्यं वद। धर्मं चर। स्वाध्यायान्मा प्रमदः।,,170,1509,21090,2020-02-27 16:41:36,2020-05-04 12:47:27,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
SakshiActivist,"Animal Liberation Activist 🐝
Vegan 🌿
Psychology Nerd 📒
I Graphic Design sometimes 👩‍💻",,71,72,412,2020-04-25 08:20:54,2020-05-04 12:47:12,0,"Hatchery workers check for healthy and unhealthy chicks, which is known as “grading”.
#Vegan #GoVegan https://t.co/QvqbVgWOwQ","[{'text': 'Vegan', 'indices': [102, 108]}, {'text': 'GoVegan', 'indices': [109, 117]}]"
SakshiActivist,"Animal Liberation Activist 🐝
Vegan 🌿
Psychology Nerd 📒
I Graphic Design sometimes 👩‍💻",,71,72,412,2020-04-25 08:20:54,2020-05-04 12:47:11,6,"Chick culling is the process of separating and disposing of unwanted chicks for which the intensive animal farming industry has no use.

#Vegan #GoVegan https://t.co/nviieIwtiS",[]
46Oliver,"L'onestà tornerà di moda..e io ci credo!!!               
In alto i cuori⭐️⭐️⭐️⭐️⭐️
Copywriter con la passione per una vita da sogno...",,128,366,39108,2012-12-13 11:06:43,2020-05-04 12:47:09,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
BigBadBarb60,Animals are here with us not for us. Animals are not ingredients. Cruelty is a choice. she/her,Florida,834,474,9099,2015-07-07 03:51:11,2020-05-04 12:47:04,0,"If the roles were reversed, would anyone be upset?  Animal babies are stolen from their families by humans every day .... except they don’t escape.  #GoVegan ✌️❤️🌱

https://t.co/jADFYEm5Ji","[{'text': 'GoVegan', 'indices': [149, 157]}]"
AnnSManalo1,"SimpleGardener, LoveFarming,NatureLover,WellnessAdvocate",,100,34,98,2020-04-19 22:31:25,2020-05-04 12:46:40,2,Tendli and Moringa: Who would have thought this was a match made in heaven? I loved making this combination and the white Moringa flowers made the dish look heavenly. #IndianFood #IndianCuisine #Food #Vegan https://t.co/bWtl9Rhb1w,[]
ashuri_62,"¡¡☘️ Vi er i kostymetid, nå.☘️!!
... Entre el pensamiento y la palabra se crea una historia..🥀💜","Flakstad, Norge",342,303,27118,2012-02-20 11:39:49,2020-05-04 12:46:40,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
veganrecipehour,"Showing twitter how amazing #vegan food is!
Share using #veganrecipehour or tweet directly! 

Thursday's 8-9pm gmt",UK. Shropshire. ,12141,29493,64022,2013-11-06 17:37:30,2020-05-04 12:46:15,0,Oooh! More #vegan cake! https://t.co/NVoF3YswNJ,"[{'text': 'vegan', 'indices': [11, 17]}]"
barbaramaryleva,"loves all; animals ,birds ,mammals,keen tweeter for  animals,wildlife.I have a rescue dog Rocky an alsation/husky mix,Two cat,s William and Soozee.Tory girl .","leeds,west yorkshire,uk",1127,804,65466,2013-03-11 19:29:25,2020-05-04 12:46:09,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
researchmrx,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",New Jersey,211,4372,249444,2013-12-21 16:17:07,2020-05-04 12:46:02,1,"Hands off, that's MAROU! 

This Coconut Milk 55% Single Origin bar from Vietnam has sweet, subtle fruity flavours and earthy undertones.

Vegan-friendly 🌱

https://t.co/3nDerk0svU

#marou #veganchocolate #vegan #dairyfreechocolate #cocoaamore @DiscoverLeices @coolasleicester",[]
EbelingKristina,# Music # Fashion# Books and Audiobooks#Take That Fan since 1994 🤠# German girl,,1319,689,2547,2014-09-21 17:38:49,2020-05-04 12:45:55,60,Hi.....Lasagne for dinner but more importantly can anyone name the song in which I wore this t-shirt in the music video #plantbased #masterchef #slighlyovercookedmaybe #recycledfashion https://t.co/MPrcIAYngF,[]
AYoungleson,Facultative carnivore,"Cape Town, South Africa",394,91,1671,2018-06-04 17:09:21,2020-05-04 12:45:51,15,"Weird, worrying thing is that more than 100 years later, so many (#vegan) MDs, #dietitians STILL promote this unscientific, belief-led, toxic prescription for diabetics! When will they ever learn? https://t.co/Wf1fBzxY3p","[{'text': 'vegan', 'indices': [84, 90]}, {'text': 'dietitians', 'indices': [97, 108]}]"
researchmrx,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",New Jersey,211,4372,249444,2013-12-21 16:17:07,2020-05-04 12:45:42,1,"WTF if this isn't swarm mentality I don't know what is
Spent 2 days verbally annihilating an argument-free #Vegan troll, a walking, talking fallacy, and STILL one more *like* to the dumbest comment
Why? Why would anyone be such a poor example to their ideology? https://t.co/y46EfWnGP3","[{'text': 'Vegan', 'indices': [128, 134]}]"
korallcode,"Your template provider.
#Webdesign #HTML5 & #WordPress #themes #PowerPoint #templates #Instagram post and story templates #webdevelopment & many more!",,274,275,37,2020-04-03 07:31:10,2020-05-04 12:45:25,6,"Take your brand to the Next Level
with our new Instagram Story Templates!

Get it: https://t.co/11pRbY8CiO
#COSMETICS #InstagramStories #Template #templates #fashionista #cosmeticanatural #design #makeup #natural #naturalhealth #Vegan #skincare #beauty https://t.co/gKhcnE993D","[{'text': 'COSMETICS', 'indices': [123, 133]}]"
east2eden,"Retailer & Wholesaler - A thoughtfully sourced collection of Home & Gardenware, for a life more beautifully lived. #east2eden info@east2eden.co.uk",United Kingdom,1824,2715,1143,2011-09-05 11:22:27,2020-05-04 12:45:22,0,"NEW shapes and sizes added to our zinc planter range! Shop now at:

https://t.co/AZ5BcJqC7Z 

#plants #plantbased #outdoorplanters #zinc #flowers #flowersofinstagram #east2eden 🌻🌱 https://t.co/YxEmkrurtb","[{'text': 'plants', 'indices': [94, 101]}, {'text': 'plantbased', 'indices': [102, 113]}, {'text': 'outdoorplanters', 'indices': [114, 130]}, {'text': 'zinc', 'indices': [131, 136]}, {'text': 'flowers', 'indices': [137, 145]}, {'text': 'flowersofinstagram', 'indices': [146, 165]}, {'text': 'east2eden', 'indices': [166, 176]}]"
OurFutureBot,I'm a retweetter-bot of #FridaysForFuture and #PlasticFree My creator @GiuseppeHuman,Italy,2,938,61505,2020-01-15 22:03:41,2020-05-04 12:45:22,2,"Food just tastes better out of a coconut bowl 🙌🏻😍
Available on https://t.co/6pLYZhcbgn💚

#coconutbowls #veganbowls #veganlife #zerowastehome #zerowasteshopping #zerowastelifestyle #zerowastejourney #ecofriendly #plasticfree #smoothiebowl #veganuk #plantbased #plantpower https://t.co/yhoAL7VTG2","[{'text': 'coconutbowls', 'indices': [105, 118]}, {'text': 'veganbowls', 'indices': [119, 130]}]"
researchmrx,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",New Jersey,211,4372,249444,2013-12-21 16:17:07,2020-05-04 12:45:22,1,"Oooh I almost forgot to post this.
Oats with soft boiled quince, sugar and cinnamon reduced to a syrup making it a #beautiful topping that’s #sweet &amp; #delicious on the palate.

#breakfast #plantbased #vegan #HealthyLiving https://t.co/Xnc6A5nNuP",[]
HumanJustHuman0,RT Not Endorsement,,340,51,2090,2017-03-06 21:32:28,2020-05-04 12:45:19,1,"WTF if this isn't swarm mentality I don't know what is
Spent 2 days verbally annihilating an argument-free #Vegan troll, a walking, talking fallacy, and STILL one more *like* to the dumbest comment
Why? Why would anyone be such a poor example to their ideology? https://t.co/y46EfWnGP3","[{'text': 'Vegan', 'indices': [107, 113]}]"
rockethulsey,"curator/creative for #area51gallery classic pop culture lab 1950-1999 
#retweetothers #LGBTQ #smallbusiness 
#chicagobound",Seattle,21445,20333,390674,2013-05-17 03:49:20,2020-05-04 12:45:08,3,"Looking for a chunk of deliciousness wrapped in a totally tropical taste? It has to be our #DairyFree coconut fudge

https://t.co/V9zXZrVXTG
#elevenseshour #Vegan","[{'text': 'DairyFree', 'indices': [108, 118]}]"
ShirleyMeerson,Ageless Wellness Lifestyle Health Coach = Self-care is your health care📌 I'll expertly guide you to rock your well-being with a personalized roadmap. Online,International,5875,6102,7265,2015-04-30 06:54:07,2020-05-04 12:45:07,0,"#healthylifestyle #selfcare #plantbased
Five surprising benefits of a plant-based diet via @TC_Africa https://t.co/TNc2a7axko","[{'text': 'healthylifestyle', 'indices': [0, 17]}, {'text': 'selfcare', 'indices': [18, 27]}, {'text': 'plantbased', 'indices': [28, 39]}]"
rockethulsey,"curator/creative for #area51gallery classic pop culture lab 1950-1999 
#retweetothers #LGBTQ #smallbusiness 
#chicagobound",Seattle,21445,20333,390674,2013-05-17 03:49:20,2020-05-04 12:45:05,3,"Banana. Toffee. Fudge. This snack is having an identity crisis. #DairyFree

https://t.co/wLoH1djne9
#elevenseshour #Vegan https://t.co/NfzwAPm8Nb","[{'text': 'DairyFree', 'indices': [81, 91]}, {'text': 'elevenseshour', 'indices': [117, 131]}, {'text': 'Vegan', 'indices': [132, 138]}]"
researchmrx,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",New Jersey,211,4372,249444,2013-12-21 16:17:07,2020-05-04 12:45:01,1,"A bit about Me:
I am a Registered Dietitian.
I am not the food police; I am here to help you improve your health. 
Go to https://t.co/nFtDCggITj to learn more!
#nutrition #dietitian #nutritionist #plantbased #hearthealthy #wellnessdietitian #cholesterol #diabetes #healthyliving https://t.co/35tDwRAQO0",[]
researchmrx,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",New Jersey,211,4372,249444,2013-12-21 16:17:07,2020-05-04 12:44:41,1,My last #rawwrap for last nights dinner. One of my amazing members on my private Facebook group posted this recipe last night. I have to make more!🥰 https://t.co/TxJJsi6X2z ..#rawfood #vegan #healthyfood #raw #plantbased #rawvegan #veganfood #organic #healthy #glutenfree #detox https://t.co/cyyKcdq5eQ,"[{'text': 'rawwrap', 'indices': [25, 33]}]"
mariefoska,"🦊🦊🦊QUAND LE BON DIEU VIENT A DOUTER DU MONDE IL SE RAPPELLE QU'IL A CREE LA PROVENCE !!        
( F.MISTRAL.)",DROITE TROCADERO,4878,5200,102186,2014-07-12 11:02:23,2020-05-04 12:44:36,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
researchmrx,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",New Jersey,211,4372,249444,2013-12-21 16:17:07,2020-05-04 12:44:21,2,"Food just tastes better out of a coconut bowl 🙌🏻😍
Available on https://t.co/6pLYZhcbgn💚

#coconutbowls #veganbowls #veganlife #zerowastehome #zerowasteshopping #zerowastelifestyle #zerowastejourney #ecofriendly #plasticfree #smoothiebowl #veganuk #plantbased #plantpower https://t.co/yhoAL7VTG2","[{'text': 'coconutbowls', 'indices': [105, 118]}, {'text': 'veganbowls', 'indices': [119, 130]}]"
riverhurt,,,488,19,330,2012-11-29 00:22:58,2020-05-04 12:44:01,771,Morning snack 👅 Who’s maybe eaten too much #velourlipscrub before? #vegan #edible https://t.co/NsiJebNN2U,"[{'text': 'velourlipscrub', 'indices': [60, 75]}, {'text': 'vegan', 'indices': [84, 90]}, {'text': 'edible', 'indices': [91, 98]}]"
yumyumkoko1,,,75,89,3097,2014-12-08 13:36:22,2020-05-04 12:43:46,34,Imagine..having the hair on your private parts removed with a flame-thrower. - ARM Investigations - #dairyisscary #friendsnotfood #notyourmomnotyourmilk #notmilk #animalcruelty #factoryfarming #dairyindustry #arminvestigations #dairyfree #plantbased #udderflaming #ditchdairy https://t.co/6PVlf6noAb,"[{'text': 'dairyisscary', 'indices': [121, 134]}]"
VeganAdvocate1,Animal Rights. Petitions. Vegan Recipes. General Veganism.,Earth (until we destroy it),4974,3419,136109,2015-05-03 13:53:37,2020-05-04 12:43:43,9,"Super excited to announce that @BOSHTV are launching their first #vegan cakes to be available in supermarkets - just in time for our #30yearsofvegan celebrations! Get BOSH!'s #VeganTrademark registered Chocolate and Lemon cakes in @tescofood from today, and in @asda from 13 July https://t.co/zGMc6nrLr3","[{'text': 'vegan', 'indices': [85, 91]}]"
martijaxn,✌Y'ALL MEANS ALL ⚖ 🎶 i am a mèlomane. music is my religion. i am not my demographic. she/her,"auburn, alabama",996,519,65292,2009-03-14 02:09:03,2020-05-04 12:42:58,347,"#Compassion isn't weakness, it's using our strength for those who need it most🐢
It doesn't care what we think, it cares what we do🤔
Put compassion into action🤗
#BeKindToAllKinds🐮
Be #vegan💖

@RickyGervais @Ivy_MiddletonUK @Protect_Wldlife @PeterEgan6 @zbleumoon @Animal_Watch https://t.co/EhBdmfQD47","[{'text': 'Compassion', 'indices': [21, 32]}]"
ElGanspo,"cocinero italiano,ve espero en: https://t.co/trNgP3yfuS   o en https://t.co/zuIRw0wiQB o en https://t.co/LeYkBDkD2P",Garrucha(Almeria),3634,5107,155637,2014-12-03 11:35:44,2020-05-04 12:42:39,6,"Instant Pot™ Stewed Apples are quick, easy, healthy, and delicious! With just 2 tablespoons of maple syrup to sweeten them, this is a weekday treat you can feel good about! https://t.co/kCDNwrZdH5 @InstantPot #vegan #vegetarian https://t.co/QJ3DP6fQ7e",[]
BolandSusan,"Happy lady, likes good food, good friends and not being too good all the time.",UK,1368,163,4824,2013-03-02 07:51:58,2020-05-04 12:42:36,1,"Here's Em's latest Lockdown Baking Session👩‍🍳📽️ 

#freefrom #glutenfree #vegan crackers made with brown rice &amp; seeds, served with an avocado dip. Recipe taken from ‘Honeybuns All Day Cook Book’. If you enjoyed this video, please like and share it 😀 https://t.co/6d0ACzarjs https://t.co/xg2fv151r0","[{'text': 'freefrom', 'indices': [71, 80]}, {'text': 'glutenfree', 'indices': [81, 92]}, {'text': 'vegan', 'indices': [93, 99]}]"
lisacharrison,"Queen of cheese nibbling, sun worshiping, travelling and exploring, with a tendency for dangerous shenanigans!",London,233,96,210,2010-02-01 11:13:22,2020-05-04 12:42:34,3,"A #vegan ham and cheese toastie is a thing of BEAUTY! 😋 LOOK at how well vegan @ApplewoodCheese melts! 🧀

#veganfood #vegancheese #plantbased #justtofuofus https://t.co/QmCNQxB9Pq","[{'text': 'vegan', 'indices': [20, 26]}, {'text': 'veganfood', 'indices': [124, 134]}]"
TomBrow38006074,Vegan. Earthling. Their future is our future... be good to nature 💚,,2490,1308,2408,2019-11-07 22:39:50,2020-05-04 12:42:21,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
nanajoyner,😀,"Camden, SC",4372,850,56579,2009-02-15 14:27:46,2020-05-04 12:42:12,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
AlfredoSDS,"Time I am, the great destroyer of the worlds, and I have come here to destroy all people.
~🕉",,1407,377,58485,2018-05-08 10:58:16,2020-05-04 12:42:11,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
loz2442an,Lifelong Wakey RLFC fan. Partner & mum to a teen. Part time NHS worker. Total bookworm & lover of competitions 😀 Family is everything 👨‍👩‍👧📖💕,"West Yorkshire , England",2183,554,69514,2016-09-03 13:01:59,2020-05-04 12:42:11,99,#Competition Just FOLLOW US &amp; RETWEET to enter! #win this luxury Bardot haircare set worth over £30! #vegan #haircare #giveaway ⁦@MMCL_LDN⁩ #stayinandwashyourhair 💁🏼‍♀️💁🏾 https://t.co/KRlCURkoYX,"[{'text': 'Competition', 'indices': [16, 28]}, {'text': 'win', 'indices': [68, 72]}, {'text': 'vegan', 'indices': [121, 127]}, {'text': 'haircare', 'indices': [128, 137]}]"
paulapmontalvo,i am just...me,south america,887,115,2463,2011-04-05 16:35:02,2020-05-04 12:42:11,322,I absolutely love everything about this the video..the cover song..and of course the magnificent hippo doing what hippos should always do..enjoy life..isn’t this what we all want? Love animals..love our planet..love ourselves..be #Vegan it makes sense. https://t.co/TeE8dhFndh,[]
WarrickSherry,vegan atheist loves ferrets hates fgm,Bexley Uk,699,472,18475,2013-04-11 19:22:25,2020-05-04 12:42:10,21,"Workers lives seemingly as expendable as those of the animals they are 'processing'. https://t.co/eE7AU2wM9B Choose a kinder way, choose #vegan #plantbased",[]
marcialgalaxio,Human #mutation.  #Nature is sacred. ✪ #Mutación humana.  La #Naturaleza es sagrada.,Argentina & Spain,1236,577,6639,2009-06-28 14:51:49,2020-05-04 12:42:05,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
GeoMaile,"“The world is a dangerous place, not because of those who do evil, but because of those who look on and do nothing.”


― Albert Einstein",,2787,559,16393,2014-04-11 02:24:03,2020-05-04 12:42:05,0,"@bern_identity @stephaniequilao #plantbased #vegan #vegetarian  Stopped eating meat to start the year - surprised at how easy it was to do. 
We need more #AnimalRights awareness. Farming practices in this country is a good place to start. Let's do this! ✊🏼","[{'text': 'plantbased', 'indices': [32, 43]}, {'text': 'vegan', 'indices': [44, 50]}, {'text': 'vegetarian', 'indices': [51, 62]}, {'text': 'AnimalRights', 'indices': [154, 167]}]"
Wolf_Girl_Yulia,,,335,993,234305,2017-10-10 03:03:53,2020-05-04 12:41:41,27,"We may be 1 bush-meat meal away from the next HIV 1 pangolin plate away from the next killer coronavirus &amp; 1 factory farm away from the next deadly flu says infectious disease expert Dr Michael Greger #covid19 #coronavirus 
#CanselAnimalAg
#GoVegan https://t.co/mCwsFkG2uK",[]
